Open Door 1,3.932534
Open Door 1,8.257412
Open Door 1,13.678129
Open Door 1,17.968954
Open Door 1,74.573461
Open Door 1,4.413081
Open Door 2,8.88411
Find Code for Door,137.914258
Open Door 3,153.808287
Find AKey for Door,205.473619
Open Door 1,4.17923
,
Open Door 1,3.584467
Open Door 2,7.486374
Find Code for Door,11.389465
Open Door 3,72.618921
Bring Key,77.99384

Open Door 1,4.551069

Open Door 1,3.662375
Open Door 2,7.62935
Open Door 1,12.112822
Open Door 1,15.78158

Open Door 1,4.04927
Open Door 2,8.215627
Find Code for Door,10.988108
Reach Door 3,33.477565
Find AKey for Door,104.160945


Open Door 1,6.009861




Open Door 1,6.505774




Open Door 1,3.545977





Open Door 1,3.942034
Open Door 2,8.125904
Find Code for Door,11.791482
Reach Door 3,27.579998





Open Door 1,5.735134

Open Door 1,3.779028
Open Door 2,8.268611
Find Code for Door,14.961086
Reach Door 3,18.609618

Open Door 1,3.679683

Open Door 1,4.922008
Open Door 2,9.398302
Find Code for Door,14.73236

Open Door 1,4.128662



Open Door 1,5.116577


Open Door 1,4.13637

Open Door 1,4.43044
Open Door 2,9.183721
Find Code for Door,13.176086
Reach Door 3,19.485186
Find AKey for Door,87.463091


Open Door 1,5.496919
Open Door 2,9.52534
Find Code for Door,14.424391
Reach Door 3,17.625344
Find AKey for Door,120.637655

Open Door 1,4.155257
Open Door 2,8.60746

Open Door 1,3.800515
Open Door 2,8.144999
Find Code for Door,15.673023
Reach Door 3,19.139272
Find AKey for Door,80.202928

Open Door 1,4.108413
Open Door 2,8.259446
Find Code for Door,11.519406
Find AKey for Door,61.71902
Reach Door 3,67.352604

Open Door 1,5.157879
Open Door 2,9.708797
Find Code for Door,38.767964
Reach Door 3,43.374252
Find AKey for Door,109.436755





Open Door 1,4.048752


Open Door 1,3.344719

Open Door 1,4.247335


Open Door 1,3.264658

Open Door 1,4.374598

Open Door 1,8.986395

Open Door 1,4.069448


Open Door 1,3.958499

Open Door 1,4.044979


Open Door 1,3.194408








Open Door 1,4.806043
Open Door 2,8.755083
Find Code for Door,12.023014

Open Door 1,40.314205
Open Door 2,44.392263
Find Code for Door,51.713783
Reach Door 3,54.551315
Find AKey for Door,133.789254

Open Door 1,3.7709
Open Door 2,8.007525
Find Code for Door,15.236496
Reach Door 3,18.36002


Open Door 1,3.916364
Open Door 2,11.202075
Find Code for Door,30.47549
Reach Door 3,33.684539



Open Door 1,13.382406

Open Door 1,10.137529
Open Door 2,14.874117
Find Code for Door,18.841953
Reach Door 3,21.765791

Open Door 1,12.305328
Open Door 2,20.299453
Find Code for Door,23.813932
Reach Door 3,28.148567


Open Door 1,19.913864
Open Door 2,43.543854
Find Code for Door,54.23024
Reach Door 3,57.22911

Open Door 1,7.865047
Open Door 2,11.912338
Find Code for Door,14.834028
Find AKey for Door,223.647314
Reach Door 3,228.925937


Open Door 1,7.556149
Open Door 2,11.853204
Find Code for Door,14.381118
Find AKey for Door,222.820591
Reach Door 3,227.812792

Open Door 1,6.794214
Open Door 2,10.695041
Find Code for Door,13.662139






Open Door 1,275.778312
Open Door 2,279.770827
Find Code for Door,282.703444

Open Door 1,3.713
Open Door 2,7.581
Find Code for Door,10.543
Find AKey for Door,103.181
Reach Door 3,110.528
Open Door 1,3.741
Open Door 2,15.335
Find Code for Door,18.654
Reach Door 3,32.116
Find AKey for Door,101.294
Open Door 3,106.311

Open Door 1,3.713
Open Door 2,7.813
Find Code for Door,10.496
Reach Door 3,13.962

Open Door 1,4.883
Open Door 2,8.986
Find Code for Door,11.755
Find AKey for Door,45.756
Open Door 3,50.699
Reach Door 3,50.699

Open Door 1,4.301
Open Door 2,8.614
Find Code for Door,14.433
Reach Door 3,17.728
Reach Door 3,20.334
Reach Door 3,20.518
Reach Door 3,20.718
Reach Door 3,22.841
Reach Door 3,23.043
Reach Door 3,23.246
Reach Door 3,23.417
Reach Door 3,23.579
Reach Door 3,23.758
Reach Door 3,23.923
Reach Door 3,24.105
Reach Door 3,24.313
Reach Door 3,24.522
Reach Door 3,24.705
Reach Door 3,24.903
Reach Door 3,25.172
Reach Door 3,25.472
Reach Door 3,25.693
Reach Door 3,25.893
Reach Door 3,26.098
Reach Door 3,26.314
Reach Door 3,30.388
Reach Door 3,30.768
Reach Door 3,32.958
Reach Door 3,33.139
Find AKey for Door,89.65
Open Door 3,96.287

Open Door 1,4.462
Open Door 2,8.635
Find Code for Door,14.083
Find AKey for Door,50.716
Open Door 3,57.557

Open Door 1,4.664
Open Door 2,8.446
Find Code for Door,11.141
Reach Door 3,17.83
Find AKey for Door,48.785
Open Door 3,54.154
You Win,57.885

Open Door 1,9.321
Open Door 2,14.06
Find Code for Door,16.979
Find AKey for Door,58.593
Open Door 3,64.391
You Win,76.718


